PROCESS	UNDERGOER	CAUSE	MANNER	RESULT	SOURCE	DEFINITIONS
reproduce	parents (organism)		produced	offspring	wikipedia	is the biological process by which new individual organisms – "offspring" – are produced from their "parents".
seek shelter	Animals	to find food and shelter	move		Barrons	Animals need to move around to find shelter and food.
seek shelter	human		dependent		Barrons	Humans are dependent upon the environment for food, shelter, and energy.
seek shelter	Animals				Barrons	Animals can use plants for shelter.
seek shelter	Animals and people	 	providing		britannica	All over the world animals and people spend a significant amount of time and energy providing shelter for themselves.
seek shelter	people	to cook, eat, sleep, raise their children. It protects them from extreme temperature, strong winds, storm.	seperates	Safe place to live.	britannica	Shelter separates people from their surroundings. It provides a place for families to cook, eat, sleep, and raise their children. It protects them from extreme temperatures, strong winds, and storms.
swimming	fish		helps	has flipper or fin	Barrons	A fish has a flipper or fin that helps them swim.
swimming	young and old	exercise	provides	provide all around conditioning	britannica	Swimming is a popular exercise and sport. As exercise,swimming provides all-around conditioning for both young and old.
swimming	living organism	to move in water	move		Web	to move in water by movements of the limbs, fins, tail, etc.
swimming	object		float		Web	to float on the surface of water or some other liquid.
riding	human	to be carried	sit and manage	motion	Web	to sit on and manage a horse or other animal in motion; be carried on the back of an animal.
riding	human	to be borne			Web	to be borne along on or in a vehicle or other kind of conveyance.
cutting	trees	cutting down trees		forest animals no longer having homes.	Barrons	Cutting down too many trees has resulted in many forest animals no longer having homes.
cutting	physical objects	seperation of objects	application of acutely directed force.	two or more options.	wikipedia	Cutting is the separation of a physical object, into two or more portions, through the application of an acutely directed force.
using solar energy		energy from the sun			Barrons	Energy from the sun is called solar energy.
using solar energy	all life on earth	energy from sun	depends	provides warmth necessary to survive	britannica	All life on Earth depends on energy from the Sun. Solarenergy is the source of energy for photosynthesis . It provides the warmth necessary for plants and animals to survive
using solar energy	light and heat from the sun		harnessed		wikipedia	Solar energy is radiant light and heat from the sun harnessed using a range of ever-evolving technologies such as solar heating, solar photovoltaics, solar thermal energy, solar architecture and artificial photosynthesis.
gravity	human beings	gravity	come back down	come back to the ground.	Barrons	When you jump up in the air, you come back down to the ground due to gravity.
gravity	matter	gravity	attraction		britannica	Gravity, or gravitation, is the attraction of all matter for all other matter.
gravity	terrestrial bodies	force of attraction	fall	bodies come towards center of earth.	web	the force of attraction by which terrestrial bodies tend to fall toward the center ofthe earth.
gravity	physical bodies	gravity	attraction	gives weight and fall towards one another	wikipedia	gravity is a natural phenomenon by which all physical bodies attract each other. Gravity gives weight to physical objects and causes them to fall toward one another.
friction	two surfaces	a force	resistance	provides resistance whenever two surface are in contact.	Barrons	Friction is a force that provides resistance whenever two surfaces are in contact.
friction	box	force of friction, the floor has on the box	pushed	the box stops	Barrons	The box pushed across the floor will eventually stop because of the force, or friction, the floor has on the box.
friction	biycle or car	force exerted	by brakes	the vehicle stops	Barrons	Friction is also the force exerted by brakes on a bicycle or car in order to stop.
friction	two objects		slide	friction occurs	Barrons	When two objects slide over one another friction can occur.
friction	solid surfaces, fluid layers and material elements	resiting the relative motion	force		wikipedia	Friction is the force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other.
erosion	soil or other earth materials		move	materials goes from one place to another	Barrons	Erosion is the process by which soil and or other Earth materials are moved from one place to another.
erosion	sand	erosion by wave action	movement		Barrons	movement of sand along a beach by wave action
erosion	pieces	erosion	moving		Barrons	Erosion involves moving pieces from one location to another.
erosion	soil and rock	natural causes such as wind, water and ice	removed		britannica	The process by which soil and rock is removed from one area of the Earth through natural causes such as wind, water, and ice and transported elsewhere is called erosion.
erosion	soil and rock	exogenic process (water flow or wind)	transport		wikipedia	erosion is the action of exogenic processes (such as water flow or wind) which remove soil and rock from one location on the Earth's crust, then transport it to another location where it is deposited.
magnetism	north and south pole		force	identification of pole	Barrons	The force identified by a north and south pole is magnetism.
magnetism	metals	magnet	attracts		Barrons	A magnet is an object that attracts metals.
magnetism	magnets		pulled apart	force of magnetism decreases.	Barrons	The force of magnetism decreases as the magnets are pulled apart.
magnetism	magnets	properties of attraction			web	the properties of attraction possessed by magnets; the molecular properties common to magnets.
magnetism	magnetic materials		magnetic fields.		wikipedia	Magnetism is a class of physical phenomena that are mediated by magnetic fields.
